Country,Code,Year,Internet users
Afghanistan,AFG,2020,7170891
Africa,,2020,451617356
Albania,ALB,2020,2071012
Algeria,DZA,2020,27331100
Angola,AGO,2020,12034256
Argentina,ARG,2020,38505807
Armenia,ARM,2020,2146572
Asia,,2020,2553848929
Australia,AUS,2020,23000366
Austria,AUT,2020,7796929
Azerbaijan,AZE,2020,8701069
Bahamas,BHS,2020,353636
Bahrain,BHR,2020,1472602
Bangladesh,BGD,2020,41520393
Belarus,BLR,2020,8197353
Belgium,BEL,2020,10582024
Benin,BEN,2020,3261925
Bhutan,BTN,2020,413294
Bolivia,BOL,2020,7154552
Bosnia and Herzegovina,BIH,2020,2429408
Botswana,BWA,2020,1629699
Brazil,BRA,2020,173419624
Brunei,BRN,2020,419649
Bulgaria,BGR,2020,4896594
Burkina Faso,BFA,2020,4734979
Burundi,BDI,2020,1148701
Cameroon,CMR,2020,10013632
Canada,CAN,2020,36740677
Cape Verde,CPV,2020,375807
Central African Republic,CAF,2020,555674
Chad,TCD,2020,1731049
Chile,CHL,2020,17042181
China,CHN,2020,1003218650
Colombia,COL,2020,35544505
Costa Rica,CRI,2020,4125648
Croatia,HRV,2020,3208708
Cuba,CUB,2020,8362514
Cyprus,CYP,2020,1123710
Czechia,CZE,2020,8565759
Democratic Republic of Congo,COD,2020,12628031
Denmark,DNK,2020,5624604
Djibouti,DJI,2020,643196
Dominican Republic,DOM,2020,8458745
Ecuador,ECU,2020,11362233
Egypt,EGY,2020,77282687
El Salvador,SLV,2020,3435919
Estonia,EST,2020,1183985
Ethiopia,ETH,2020,28125821
Europe,,2020,632245905
Finland,FIN,2020,5096511
France,FRA,2020,54679086
Gabon,GAB,2020,1421401
Gambia,GMB,2020,939512
Georgia,GEO,2020,2731476
Germany,DEU,2020,74840220
Ghana,GHA,2020,18664633
Greece,GRC,2020,8211719
Grenada,GRD,2020,70369
Guatemala,GTM,2020,8676149
Guinea,GIN,2020,3433341
Guinea-Bissau,GNB,2020,461627
Haiti,HTI,2020,3900847
High-income countries,,2020,1066575290
Honduras,HND,2020,4256201
Hong Kong,HKG,2020,6931868
Hungary,HUN,2020,8265671
Iceland,ISL,2020,363015
India,IND,2020,600446441
Indonesia,IDN,2020,146059763
Iran,IRN,2020,73420540
Ireland,IRL,2020,4550428
Israel,ISR,2020,7892890
Italy,ITA,2020,41938046
Japan,JPN,2020,112995146
Kazakhstan,KAZ,2020,16311260
Kenya,KEN,2020,15335805
Kiribati,KIR,2020,48060
Kuwait,KWT,2020,4321463
Laos,LAO,2020,2473956
Latvia,LVA,2020,1686484
Lebanon,LBN,2020,4762519
Lesotho,LSO,2020,969265
Liberia,LBR,2020,1302423
Lithuania,LTU,2020,2342390
Low-income countries,,2020,109763424
Lower-middle-income countries,,2020,1473736616
Luxembourg,LUX,2020,622978
Macao,MAC,2020,595809
Malaysia,MYS,2020,29732254
Maldives,MDV,2020,323744
Mali,MLI,2020,5815387
Malta,MLT,2020,447639
Mauritania,MRT,2020,1835431
Mauritius,MUS,2020,842096
Mexico,MEX,2020,90678697
Mongolia,MNG,2020,2058963
Montenegro,MNE,2020,488204
Morocco,MAR,2020,30862724
Mozambique,MOZ,2020,5144410
Myanmar,MMR,2020,18751542
Namibia,NAM,2020,1020531
Nepal,NPL,2020,11064432
Netherlands,NLD,2020,15923567
New Zealand,NZL,2020,4630934
Nicaragua,NIC,2020,3053667
Nigeria,NGA,2020,73956230
North America,,2020,480339051
North Macedonia,MKD,2020,1718534
Norway,NOR,2020,5218441
Oceania,,2020,27679360
Oman,OMN,2020,4326686
Pakistan,PAK,2020,56799184
Panama,PAN,2020,2759146
Paraguay,PRY,2020,4895026
Peru,PER,2020,21731361
Philippines,PHL,2020,55871109
Poland,POL,2020,31966596
Portugal,PRT,2020,8059531
Qatar,QAT,2020,2750807
Romania,ROU,2020,15253305
Russia,RUS,2020,123766963
Rwanda,RWA,2020,3483787
Saint Lucia,LCA,2020,95538
Sao Tome and Principe,STP,2020,72154
Saudi Arabia,SAU,2020,35226770
Senegal,SEN,2020,7001787
Serbia,SRB,2020,5766328
Seychelles,SYC,2020,83381
Sierra Leone,SLE,2020,1482115
Singapore,SGP,2020,5437341
Slovakia,SVK,2020,4906697
Slovenia,SVN,2020,1833911
South Africa,ZAF,2020,41161350
South America,,2020,313033045
South Korea,KOR,2020,50032746
South Sudan,SSD,2020,689405
Spain,ESP,2020,44145745
Sri Lanka,LKA,2020,7600277
Sudan,SDN,2020,12621097
Suriname,SUR,2020,425312
Sweden,SWE,2020,9802763
Switzerland,CHE,2020,8137569
Syria,SYR,2020,7432437
Tanzania,TZA,2020,13574994
Thailand,THA,2020,55639332
Timor,TLS,2020,378299
Togo,TGO,2020,2026220
Tunisia,TUN,2020,8744277
Turkey,TUR,2020,65347988
Uganda,UGA,2020,8836517
Ukraine,UKR,2020,32948894
United Arab Emirates,ARE,2020,9287286
United Kingdom,GBR,2020,63584584
United States,USA,2020,305371298
Upper-middle-income countries,,2020,1808688316
Uruguay,URY,2020,2952444
Uzbekistan,UZB,2020,23837456
Vietnam,VNM,2020,67944025
World,OWID_WRL,2020,4699887523
Zambia,ZMB,2020,3747688
Zimbabwe,ZWE,2020,4591211
